city,state,title,url
Birmingham,Alabama,Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/
Dothan,Alabama,Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/
Huntsville,Alabama,Huntsville Gem and Mineral Society,http://huntsvillegms.org/
Mobile,Alabama,Mobile Rock & Gem Society,http://www.mobilerockandgem.com/
Montgomery,Alabama,Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/
Anchorage,Alaska,Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/
Palmer,Alaska,Mat-Su Rock and Mineral Club,http://matsurockclub.com/
Apache Junction,Arizona,Apache Junction Rock and Gem Club,http://www.ajrockclub.com/
Black Canyon City,Arizona,Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/
Anthem,Arizona,Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/
Miami,Arizona,Gila County Gem & Mineral Society,http://gilagem.org/
Sierra Vista,Arizona,Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/
Lake Havasu City,Arizona,Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/
Scottsdale,Arizona,Mineralogical Society of Arizona,http://www.msaaz.org/
Cottonwood,Arizona,Mingus Gem & Mineral Club,http://www.mingusclub.org/
Kingman,Arizona,Mohave County Gemstoners,http://www.gemstoners.org/
Tucson,Arizona,Old Pueblo Lapidary Club,http://www.lapidaryclub.org/
Prescott Valley,Arizona,Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/
Quartzsite,Arizona,Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/
Phoenix,Arizona,Rockhounds West,http://rockhounds.scwclubs.com/
Sedona,Arizona,Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/
Bullhead City,Arizona,Silvery Colorado River Rock Club,http://scrrc.blogspot.com/
Pearce,Arizona,Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/
Tucson,Arizona,Tucson Gem and Mineral Society,http://www.tgms.org/
Cottonwood,Arizona,Verde River Rockhounds,http://www.verderiverrockhounds.com/
Buckeye,Arizona,West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/
Show Low,Arizona,White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/
Wickenburg,Arizona,Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/
Little Rock,Arkansas,"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/
Siloam Springs,Arkansas,Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/
Mountain Home,Arkansas,"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/
Sutter Creek,California,Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/
Anaheim,California,American Opal Society,http://www.opalsociety.org/
Lancaster,California,Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/
Antioch,California,Antioch Lapidary Club,http://www.antiochlapidaryclub.com/
Borrego Springs,California,Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html
Angels Camp,California,Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/
Pacific Grove,California,Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/
San Luis Obispo,California,Central Coast Treasure Hunters Association,http://www.cctha.org/
Coalinga,California,Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/
Thousand Oaks,California,Conejo Gem & Mineral Club,http://www.cgamc.org/
Concord,California,Contra Costa Mineral & Gem Society,http://www.ccmgs.org/
Culver City,California,The Culver City Rock and Mineral Club,http://culvercityrocks.org/
Northridge,California,Del Air Rockhounds Club,http://delairrockhounds.blogspot.com/
Bellflower,California,Delvers Gem & Mineral Society,https://delversgemclub.wordpress.com/
El Cajon,California,El Cajon Valley Gem & Mineral Society,http://www.ecvgms.org/
Placerville,California,El Dorado County Mineral and Gem Society,http://www.eldoradomineralandgem.org/
Buena Park,California,Faceters Guild of Southern California,http://www.fgosc.com/
Fallbrook,California,"Fallbrook Gem and Mineral Society, Inc.",http://www.fgms.org/FGMS/Home.html
Oroville,California,Feather River Lapidary & Mineral Society,http://www.featherriverrocks.org/
Yucca Valley,California,First Class Miners,http://www.firstclassminers.org/
North Highlands,California,"Fossils for Fun Society, Inc.",https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
Fresno,California,Fresno Gem & Mineral Society,http://fgms.us/
Placerville,California,Gold Country Treasure Seekers,https://goldcountrytreasureseekers.shutterfly.com/
Yucca Valley,California,Hi-Desert Rockhounds of Morongo Valley,http://www.hi-desertrockhounds.org/
